_id,pais_de_origen,sector_subsector_rama,anio,trimestre,fecha,millones_de_dolares,fn_millones_de_dolares
484530,Brasil,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2021,1,2021-03-01,C,
484478,Belice,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2021,1,2021-03-01,0,0.0
392659,Panamá,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2018,1,2018-03-01,0,0.0
392399,Países Bajos,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2018,1,2018-03-01,0,0.0
391577,Italia,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2018,1,2018-03-01,0,0.0
580249,Alemania,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2024,1,2024-03-01,0,0.0
581186,Belice,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2024,1,2024-03-01,0,0.0
581238,Brasil,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2024,1,2024-03-01,C,
582214,Colombia,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2024,1,2024-03-01,0,0.0
582469,"Corea, República de","11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2024,1,2024-03-01,0,0.0
583473,Estados Unidos de América,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2024,1,2024-03-01,163.41568223905742,163.41568223905742
584321,Guatemala,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2024,1,2024-03-01,0,0.0
584606,India,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2024,1,2024-03-01,0,0.0
585739,Nueva Zelandia,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2024,1,2024-03-01,0,0.0
586690,Reino Unido de la Gran Bretaña e Irlanda del Norte,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2024,1,2024-03-01,0,0.0
